0 40 4 18 22
1 40 4 8 12
2 40 4 7 11
3 40 4 7 11
4 40 4 6 10
5 40 4 6 10
6 40 4 14 18
7 40 4 5 9
8 40 4 14 18
9 40 4 19 23
10 40 4 6 10
11 40 4 12 16
12 40 4 18 22
13 40 4 8 12
14 40 4 0 4
15 40 4 23 27
16 40 4 2 6
17 40 4 2 6
18 40 4 7 11
19 40 4 3 7
20 40 4 3 7
21 40 4 8 12
22 40 4 23 27
23 40 4 0 4
24 40 4 11 15
25 40 4 8 12
26 40 4 0 4
27 40 4 23 27
28 40 4 12 16
29 40 4 15 19
30 40 4 0 4
31 40 4 9 13
32 40 4 12 16
33 40 4 7 11
34 40 4 18 22
35 40 4 10 14
36 40 4 16 20
37 40 4 19 23
38 40 4 4 8
39 40 4 1 5
40 40 4 11 15
41 40 4 6 10
42 40 4 20 24
43 40 4 4 8
44 40 4 16 20
45 40 4 19 23
46 40 4 19 23
47 40 4 2 6
48 40 4 11 15
49 40 4 8 12
